example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
Обязательно проводили {{два}} раза в год-очищение.,large_sample,два раза,,два,раза,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Achan,F,higher,Nanai,lak,1947,ObrjadOchishenijaUundi (lak) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] \n [lak] Обязательно проводили {{два}} раза в год-очищение.
"Ещё жили {{семьями,}} мы остана==",excluded,excluded,,,,,,,,,,,,,,,Mys Lazareva,F,higher?,Ulcha,lnl,1954,BioVsjoNaSobakax (lnl&nao) [2020],online-corpus_202104,"[pob: Mys Lazareva; gender: F; edu: higher?; lng: Ulcha; speaker: lnl; yob: 1954] Ещё жили {{семьями,}} мы остана=="
учаТам {{два}}/ раза иль {{три}} раза,large_sample,два раза,,два,раза,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Achan,F,higher,Nanai,lak,1947,BioUchilisjOtdeljno (exk) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] учаТам {{два}}/ раза иль {{три}} раза
Потому что у нас видишь здесь как {{больше}},excluded,excluded,,,,,,,,,,,,,,,Mys Lazareva,F,higher?,Ulcha,lnl,1954,BioRusskijeVDudi (nao&lnl) [2020],online-corpus_202104,[pob: Mys Lazareva; gender: F; edu: higher?; lng: Ulcha; speaker: lnl; yob: 1954] Потому что у нас видишь здесь как {{больше}}
И после этого тоже он {{три}} поклона делает.,large_sample,три поклона,,три,поклона,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Achan,F,higher,Nanai,lak,1947,DescrObrjadyOxotaRybalka (lak) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] И после этого тоже он {{три}} поклона делает.
учаТам {{два}}/ раза иль {{три}} раза,large_sample,три раза,,три,раза,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Achan,F,higher,Nanai,lak,1947,BioUchilisjOtdeljno (exk) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] учаТам {{два}}/ раза иль {{три}} раза
Русский язык был {{два}} {{три}} часа в неделю\,large_sample,два-три часа,,три,часа,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Achan,F,higher,Nanai,lak,1947,BioUchilisjOtdeljno (exk) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] Русский язык был {{два}} {{три}} часа в неделю\
"и-и ставили эти рогатулинки, {{четыре}} рогатулинки ставили",large_sample,четыре рогатулинки,,четыре,рогатулинки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Achan,F,higher,Nanai,lak,1947,DescrObrjadyOxotaRybalka (lak) [2016],online-corpus_202104,"[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] и-и ставили эти рогатулинки, {{четыре}} рогатулинки ставили"
Ну/ ... ну у кого/ у к= у кого - {{сколько\}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,LetnjajaKeta&Sobaki (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] \n [lpd] Ну/ ... ну у кого/ у к= у кого - {{сколько\}}
А ей только исполнилось {{семнадцать}} лет/ - отдали её замуж\,large_sample,семнадцать лет,,семнадцать,лет,standard,gen_pl,rus,main,d_eleven-nineteen,,time,num_noun,other,,standard,Aori,F,higher (incomplete),Ulcha,lpd,1939,MatjShlaIzBogorodska (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] А ей только исполнилось {{семнадцать}} лет/ - отдали её замуж\
"Ну это минус {{два\}} года, может быть, {{пятьдесят}} пятый\ {{пятьдесят==}} {{пятьдесят}} пятый\, где-то так",large_sample,два года,,два,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Muhu,F,higher,Nanai,ldk,1950,ChertejGonjali (ldk) [2011],online-corpus_202104,"[pob: Muhu; gender: F; edu: higher; lng: Nanai; speaker: ldk; yob: 1950] Ну это минус {{два\}} года, может быть, {{пятьдесят}} пятый\ {{пятьдесят==}} {{пятьдесят}} пятый\, где-то так"
Ну {{сколько}} собрала/ я уже,excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,BioZaGolubitsej (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Ну {{сколько}} собрала/ я уже
Значит даже там\ жили очень {{много}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,LetnjajaKeta&Sobaki (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Значит даже там\ жили очень {{много}}
Не помню пятый/ или {{шестой\}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,VideliRadugu (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Не помню пятый/ или {{шестой\}}
{{Тринадцать}} собак у нас было ...,large_sample,тринадцать собак,,тринадцать,собак,standard,gen_pl,rus,main,d_eleven-nineteen,,animal,num_noun,other,,standard,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] {{Тринадцать}} собак у нас было ...
Обычно в нанайской семье по двенадцать-тринадцать человек,large_sample,двенадцать-тринадцать человек,,тринадцать,человек,standard,gen_pl,rus,main,d_eleven-nineteen,,human,num_noun,other,,standard,Ommi,F,higher,Nanai,nmch,1940,gld_nmch_110816_ns_Svadjba_rus_20210221_mr.eaf,elan_pract_202102,
А мне/ {{семьдесят}} {{семь}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,VideliRadugu (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] А мне/ {{семьдесят}} {{семь}}
Иии вот она ей было лет уже четырнадцать-тринадцать вот тринадцать-четырнадцатый,large_sample,лет четырнадцать-тринадцать,,четырнадцать,лет,standard,gen_pl,rus,main,d_eleven-nineteen,,time,noun_num,other,,standard,Ommi,F,higher,Nanai,nmch,1940,gld_nmch_110816_ns_Svadjba_rus_20210221_mr.eaf,elan_pract_202102,
{{Три\}} дня она болела/,large&small_sample,три дня,,три,дня,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Putintseva (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] {{Три\}} дня она болела/
"О-ё-ё\ как {{два\}} дня, {{три\}} дня праздновают, все\",large&small_sample,три дня,,три,дня,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,"[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] О-ё-ё\ как {{два\}} дня, {{три\}} дня праздновают, все\"
Открыла/ {{дверь}} и упала\,excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,MatjShlaIzBogorodska (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Открыла/ {{дверь}} и упала\
Стоит/ в= ... в {{дверях/}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,BioBabushkaDuje (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Стоит/ в= ... в {{дверях/}}
То есть ... хозяевам сделали ... дюлень деревянный куклы это ... иии эта самое ... летей было {{семеро}} ... им всем {{мало}} {{мало}} мельс=ме=меньше ... дюлень сделали ...,,excluded,,,,,,,,,,,,,???,,Naikhin,F,higher,Nanai,ssb,1933,NashliDiuli (ssb) [2011],online-corpus_202104,[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] То есть ... хозяевам сделали ... дюлень деревянный куклы это ... иии эта самое ... летей было {{семеро}} ... им всем {{мало}} {{мало}} мельс=ме=меньше ... дюлень сделали ...
{{Три}} дня пена\ вышла - вот этот белый\,large&small_sample,три дня,,три,дня,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Три}} дня пена\ вышла - вот этот белый\
{{Две}} бутылки это ... яблоко== яблочной было и все,,две бутылки,,два,бутылки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] \n [fna] {{Две}} бутылки это ... яблоко== яблочной было и все
Две бабушки умерли,,две бабушки,,два,бабушки,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,gld_ivg&gak_110806_so_obychai-rus_022021_GP.eaf,elan_pract_202102,
{{Три}} ножки/,,три ножки,,три,ножки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] {{Три}} ножки/
Это я {{два\}} ли {{три\}} ночи ночевала там,large&small_sample,два ли три ли ночи,,три,ночи,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Это я {{два\}} ли {{три\}} ночи ночевала там
Я говорю\: полная {{три}} вот это ... ряда/,large&small_sample,три ряда,,три,ряда,standard,gen_sg,rus,paucal,a_two-four,,numbered,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Я говорю\: полная {{три}} вот это ... ряда/
"Один раз сделаем, поклонимся раза {{три}}, поклонимся и встаем, уходим.",,раза три,,три,раза,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104,"[pob: Achan; gender: F; edu: secondary; lng: Nanai; speaker: rchk; yob: 1942] Один раз сделаем, поклонимся раза {{три}}, поклонимся и встаем, уходим."
Один/ {{два}} {{три\}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,BioZaGolubitsej (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Один/ {{два}} {{три\}}
Вот {{двери}} стоят/,excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,MatjShlaIzBogorodska (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Вот {{двери}} стоят/
Ну мож=может быть {{три\/}} {{четыре\/}} {{пять}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,LetnjajaKeta&Sobaki (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Ну мож=может быть {{три\/}} {{четыре\/}} {{пять}}
У {{двери}} у у у {{двери/}} стоит,excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,BioBabushkaDuje (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] У {{двери}} у у у {{двери/}} стоит
Один/ {{два}} {{три}},excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,BioZaGolubitsej (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Один/ {{два}} {{три}}
Первые три-четыре года у меня все в цветах было,,три-четыре года,,четыре,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102,
Такого/ ни разу я {{больше}} не видела,excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,VideliRadugu (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Такого/ ни разу я {{больше}} не видела
Листики выкидывают/ чтобы {{больше}} собрать вот таких\ толстых,excluded,excluded,,,,,,,,,,,,,,,Aori,F,higher (incomplete),Ulcha,lpd,1939,BabushkaIMedvedj (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Листики выкидывают/ чтобы {{больше}} собрать вот таких\ толстых
"Там что-то щелку, какую-то {{дверцу}} открыл или как ли?",excluded,excluded,,,,,,,,,,,,,,,Krasnoseljskoje,F,secondary,Nanai,lvd,1946,SkazkaKalgama (lvd) [2017],online-corpus_202104,"[pob: Krasnoseljskoje; gender: F; edu: secondary; lng: Nanai; speaker: lvd; yob: 1946] Там что-то щелку, какую-то {{дверцу}} открыл или как ли?"
{{Сколько}} {ПЕРЕКЛ},excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] {{Сколько}} {ПЕРЕКЛ}
"Скажем, по две бочки откатаю",,две бочки,,два,бочки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102,
И[рина] Н[иколавна] {{тридцать}} седьмого года,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] И[рина] Н[иколавна] {{тридцать}} седьмого года
Жили-были (...) {{два}} (...) мужика.,,два мужика,,два,мужика,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,nonstandard,Naikhin,M,higher,Nanai,nchb,1937,SkazkaDvaStarika_rus (nchb) [2012],online-corpus_202104,[pob: Naikhin; gender: M; edu: higher; lng: Nanai; speaker: nchb; yob: 1937] \n [nchb] Жили-были (...) {{два}} (...) мужика.
Вот и это\ у них было {{три}} сына\,,три сына,,три,сына,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,LegendRodRosugbu (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] Вот и это\ у них было {{три}} сына\
"Она в {{двух}} тыщ, так, втором году мне прислала книжку",excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,Razgovory (gkb&ssa&mav) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Она в {{двух}} тыщ, так, втором году мне прислала книжку"
{{Два}} пацана/?,,два пацана,,два,пацана,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] \n [fna] {{Два}} пацана/?
Там написано ки= {{десять}} килограмм\,,десять килограмм,,десять,килограмм,standard,gen_pl,rus,main,b_five-ten,,measure,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] Там написано ки= {{десять}} килограмм\
Дали/ нам ... рулоном ... {{десять}} килограмм ... и крупа\ и масло\ всё\ дали,,десять килограмм,,десять,килограмм,standard,gen_pl,rus,main,b_five-ten,,measure,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,OVojne (fna) [2012],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] Дали/ нам ... рулоном ... {{десять}} килограмм ... и крупа\ и масло\ всё\ дали
А там орулона было {{десять}} килограм мука...,,десять килограмм,,десять,килограмм,standard,gen_pl,rus,main,b_five-ten,,measure,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] А там орулона было {{десять}} килограм мука...
Я думаю я на зиму себе по две бочки свалю,,две бочки,,два,бочки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102,
Когда ... жили-были вот {{два}} брата,large_sample,два брата,,два,брата,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,SkazkaUdjaOkja1 (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Когда ... жили-были вот {{два}} брата
У него было эээ {{две}} жены\ было,large_sample,две жены,,два,жены,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] У него было эээ {{две}} жены\ было
"{{Два\}} мэргэна зашли\/... - старший, младший <ВЗДОХ>",large_sample,два мэргэна,,два,мэргэна,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,DevushkaLjagushka (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] {{Два\}} мэргэна зашли\/... - старший, младший <ВЗДОХ>"
Жили-были ... эээм ... {{две}} сестрицы\/,large_sample,две сестрицы,,два,сестрицы,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,DevushkaICherep (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Жили-были ... эээм ... {{две}} сестрицы\/
И стал.. разложил эти {{две}} тарелки и стал кланяться - просить там.. помощи.,large_sample,две тарелки,,два,тарелки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,SkazkaStarikStaruxa (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] И стал.. разложил эти {{две}} тарелки и стал кланяться - просить там.. помощи.
Откликнулось {{много}},excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Откликнулось {{много}}
"И стал== разложил эти {{две}} тарелки и стал кланяться, просить там помощи",large_sample,две тарелки,,два,тарелки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,StarikIStaruxa (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] И стал== разложил эти {{две}} тарелки и стал кланяться, просить там помощи"
"В том здании, тока она эээ вот здесь {{дверь}}",excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] В том здании, тока она эээ вот здесь {{дверь}}"
"У них половина в {{семье}} байосалы, полов= половина имы",excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,Razgovory (gkb&ssa&mav) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] У них половина в {{семье}} байосалы, полов= половина имы"
"{{Семья}} у него там, работа",excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] {{Семья}} у него там, работа"
Разложила на {{две}} тарелочки,large_sample,две тарелочки,,два,тарелочки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,SkazkaStarikStaruxa (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Разложила на {{две}} тарелочки
Я тебя {{сколько}} просила тоже,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Я тебя {{сколько}} просила тоже
Только ее {{семья}} и всё,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Только ее {{семья}} и всё
Разложила на {{две}} тарелочки,large_sample,две тарелочки,,два,тарелочки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,StarikIStaruxa (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] \n [lfs] Разложила на {{две}} тарелочки
К[ай] вот у {{двухюродной}} сёстры,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] К[ай] вот у {{двухюродной}} сёстры
Туда где-то дв= {{два}} часа нааа этой\ на теплоходе\ на ракете\ вот на быстроходной,large_sample,два часа,,два,часа,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Туда где-то дв= {{два}} часа нааа этой\ на теплоходе\ на ракете\ вот на быстроходной
На море можно и длиной в {{три}} метра,large_sample,три метра,,три,метра,standard,gen_sg,rus,paucal,a_two-four,,measure,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,Xalaty (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] На море можно и длиной в {{три}} метра
Он говорит: ой {{сколько}} {ПЕРЕКЛ},excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Он говорит: ой {{сколько}} {ПЕРЕКЛ}
"Дааа\... Нееет\, нууу на свадебный халат/ на свадебный\ если он вышитыыый полностью: спинка\/ все\/ - это месяца {{три\}}",large_sample,месяца три,,три,месяца,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajskijDom (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] \n [lfs] Дааа\... Нееет\, нууу на свадебный халат/ на свадебный\ если он вышитыыый полностью: спинка\/ все\/ - это месяца {{три\}}"
{{Двухэтажном}} доме,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] {{Двухэтажном}} доме
А у него сёстры {{двухюродные}} были там К[ай],excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] А у него сёстры {{двухюродные}} были там К[ай]
А так/ если работать каждый день/ то можно и недели за {{три\}} вышить,large_sample,недели три,,три,недели,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajskijDom (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] \n [lfs] А так/ если работать каждый день/ то можно и недели за {{три\}} вышить
Так {{семью}} я обещала,excluded,excluded,,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Так {{семью}} я обещала
