example_number,example,context,numeral,noun,standard,expression,pattern,num_type,num_semantics,noun_semantics,wo,mass_noun,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection
212,И она эта же дочка/ родила {{пять}} сыновья/ одна дочка\,пять сыновья,пять,сыновья,nonstandard,nom_pl,tung,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
213,И они консилиум собрали на {{пять}} человек врачей...,пять человек врачей,пять,человек врачей,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
214,"и поговорить захотят, и встанут {{много}} бабушек и взрослых....",много бабушек и взрослых,много,бабушек и взрослых,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,nani eda i prazdniki (gak) [2011],online-corpus_202104
215,И таким образом {{сколько}} лет\ вот так вот,сколько лет,сколько,лет,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104
216,И там у него были {{семеро/}} жен\,семеро жен,семеро,жен,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaDevushkaITsarj (oab) [2017],online-corpus_202104
217,И тут так и остались\ Уже {{пятьдесят}} {{три}} года\ живем,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
218,Иду/ {{пять-три}} шагов,пять-три шагов,три,шагов,nonstandard,gen_pl,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
219,"Идут-идут - ягеля нет, идут-идут - ягеля нет. И вот дошли они до Найхена. Вот {{двести}} этих оленей - всё погибли. Только {{десять}} оленей прибыли они сюда, в Найхен. А когда прибыли,опять в Найхене нет ягеля. Дед же везде походил по лесу - нигде нет ягеля. А потом чё остается делать.",двести оленей,двести,оленей,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,ded Poja (ssb) [2015],online-corpus_202104
220,Каждые четы= {{три}} разА в день/ ложке по т= столовой ложке\,три разА,три,разА,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
221,Каждый ... чашка/ {{два}} пара\,два пара,два,пара,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
222,"Как буд-то они эти, эти (зак?), и кили или (?), кто-то из этих, они пришельцы из этого Лены, Лэны оттуда пришельцы они через эти, горы, горы, сотки переехали, с оленями своими, а олени у них кончилась, а потом они -Нерген-озеро, когда доехали до того озера, увидели, что тут рыбы {{много}}, вот и место хорошее, они там поселились.",рыбы много,много,рыбы,standard,gen_mass,rus,gen_pl,basic,non_time&measure,noun_num,mass,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,EthnoNanajskijeRody (itg) [2017],online-corpus_202104
223,"как сядет он ммм вообще не разговаривал месяцев {{три}} == совершенно нет ... сядет вот у нас шведская печка была ""катарман"" назвается",месяцев три,три,месяцев,nonstandard,gen_pl,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
224,Клюквы {{много}} было тоже... (на нанайском языке),клюквы много,много,клюквы,standard,gen_mass,rus,gen_pl,basic,non_time&measure,noun_num,mass,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,nani eda i prazdniki (gak) [2011],online-corpus_202104
225,Корчевали там {{много}} эээ земли\,много земли,много,земли,standard,gen_mass,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
226,котлах варили == там ... рыбу варили когда {{много}} рыбы поймают == {{сколько}} надо тогда раньше на протоке полно рыбы были,много рыбы,много,рыбы,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
227,Кто работает/ {{пятьсот}} грамм\ давали,пятьсот грамм,пятьсот,грамм,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
228,Кто/ - {{три}} года\,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,MedvezhijPrazdnik (oab) [2018],online-corpus_202104
229,Кур двадцать штук держала,двадцать штук,двадцать,штук,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
230,Лекарства покупаю/ - ой\ {{сколько}} денег\ надо,сколько денег,сколько,денег,standard,gen_mass,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
231,"Лет сорок пять с лишним, наверное",лет сорок пять с лишним,сорок пять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_ns_ShamanyVOkrestnostjax_rus_022021_GP.eaf,elan_pract_202102
232,Маленький/ ну лет {{десять\}} {{одиннадцать\}} такие,лет десять-одиннадцать,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,DetiLoviliRybu (vsg) [2011],online-corpus_202104
233,Маня у меня получала {{5}} рублей пенсию,пять рублей,пять,рублей,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
234,Минут за {{15}}...,минут пятнадцать,пятнадцать,минут,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104
235,Младший его сестра/ у ней {{трое}} детей\ было,трое детей,трое,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,NazvaliDegde (vsg) [2015],online-corpus_202104
236,Мне два года было,два года,два,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,gld_gak_110806_so-imena-rus_20210216_ek.eaf,elan_pract_202102
237,Мне уже {{восемьдесят}} {{два}} года,восемьдесят два года,восемьдесят два,года,standard,gen_sg,rus,gen_sg,large,time&measure,num_noun,other,nonstandard,Kondon,F,primary?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104
238,Молоко сколько я продава= две доенных коровы,молоко сколько,сколько,молоко,nonstandard,nom_mass,tung,gen_pl,basic,non_time&measure,noun_num,mass,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
239,Молоко сколько я продава= две доенных коровы,две доенных коровы,два,дойных коров,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
240,Мы 30 лет в городе почти прожили,тридцать лет,тридцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe1-rus_15022021_KL.eaf,elan_pract_202102
241,мы всё время пельменей {{много}} заготовим значит ... пельмени внизу,пельменей много,много,пельменей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
242,мы с Дальнего Востока == видете {{сколько}} у вас в ресторане ... дальневосточников ...,сколько дальневосточников,сколько,дальневосточников,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,ssb_20170809_nst_NaniVRestorane (ssb) [2017],online-corpus_202104
243,Мы сдавали\/ килограмм {{сколько\-то}},килограмм сколько-то,сколько,килограмм,standard,gen_pl,rus,gen_pl,basic,time&measure,noun_num,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
244,Мы хоть {{сто}} килОметров\ будем грести,сто километров,сто,километров,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,SkazkiVOmorochke (vsg) [2011],online-corpus_202104
245,"Мы, вот за эти семь лет, мы держали и чушку, и корову, и бычков",семь лет,семь,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
246,На {{двадцать}} {{пять}} лет младше\,двадцать пять лет,двадцать пять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija2 (vsg) [2012],online-corpus_202104
247,На {{десять}} лет\ почти ... младше\,десять лет,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
248,"Наверное, не знаю - {{четыре}} или {{пять}} годиков, наверное, было, наверное... ну... это... ага... а это...",четыре или пять годиков,пять,годиков,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,JezdilaKOtzu (itg) [2013],online-corpus_202104
249,Надо же долбить будет {{сколько}} дней!...ой...,сколько дней,сколько,дней,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVshi (vas) [2017],online-corpus_202104
250,Нас только {{восемь}} человек.,восемь человек,восемь,человек,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104
251,Нас\-то чо... увезет {{два}} == ... {{два}} часа уже наши увезут домой\,два часа,два,часа,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,SobachjeMoloko (vsg) [2012],online-corpus_202104
252,Наточит там {{четыре}} или {{пять}} эээ пар,четыре или пять пар,пять,пар,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104
253,Не знаю\ он есть/ или нет\ она же моло= он моложе меня на {{семь}} лет\,семь лет,семь,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104
254,Недельку\ наверно ... дней {{четыре\}} ли {{пять}} пил/,дней четыре пять,четыре,дней,nonstandard,gen_pl,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
255,Некоторые по {{пятнадцать}} лет\ сидели,пятнадцать лет,пятнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
256,Нет\ {{два}} девочек,два девочек,два,девочек,nonstandard,gen_pl,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,BogatyjStarikUmer (vsg) [2015],online-corpus_202104
257,Нет\ {{два}} литр\ соберешь\ да\,два литр,два,литр,nonstandard,nom_sg,tung,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
258,Ночью с руки забрали в два часа ночи,два часа ночи,два,часа ночи,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102
259,Ну ... иии ... очень долго ... даже не помнит мальчик ... {{сколько}} лет он там лежит ... и когда это было ... кто его оставил ...,сколько лет,сколько,лет,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,SonnyjMaljchik (ssb) [2012],online-corpus_202104
260,Ну {{много}} откашливала крови\ всякой,много крови,много,крови,standard,gen_mass,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
261,Ну {{много}} русских\ было там переселенцев,много русских,много,русских,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
262,Ну {{четыре}} ... {{четыре}} медведи/ это ну... литр\ соберешь,четыре медведи,четыре,медведи,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
263,Ну а раньше\ такие платки штук {{четыре}} ли {{пять\}},штук четыре ли пять,четыре,штук,nonstandard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
264,Ну а что там {{50}} рублей для библиотекаря...,пятьдесят рублей,пятьдесят,рублей,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
265,Ну в общем через {{два}} года/,два года,два,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
266,"Ну и вот, мы певрое время, все время все коллективы пели, вот, {{две}} песни, вот (поет) {ПЕРЕКЛ}. И вот, когда он уезжал, и вот прощался.",две песни,два,песни,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,ded Poja (ssb) [2015],online-corpus_202104
267,"Ну километров {{семь,}} наверно, по тайге идти\",километров семь,семь,километров,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
268,Ну минут {{20}} шел в село,минут двадцать,двадцать,минут,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
269,"Ну пожилые были у нас {{много...пожилые}} бааабушки, теткиии",много пожилые,много,пожилые,nonstandard,nom_pl,tung,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104
270,"Ну рядом дом, через {{пять}} домов бегал...",пять домов,пять,домов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
271,Ну...там же их {{много/}} в лесу сохатых\,много сохатых,много,сохатых,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
272,Ну/ неграмотные\ там че - {{два}} класса образования под=,два класса,два,класса,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
273,"О-ё-ё\ как {{два\}} дня, {{три\}} дня праздновают, все\",два дня,два,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
274,"О-ё-ё\ как {{два\}} дня, {{три\}} дня праздновают, все\",три дня,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
275,Оба == все {{трое}} сыновей пропали\.,трое сыновей,трое,сыновей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104
276,"Один раз сделаем, поклонимся раза {{три}}, поклонимся и встаем, уходим.",раза три,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104
277,Один раз тянули/ {{двести}} центнер\ тянули,двести центнер,двести,центнер,nonstandard,nom_sg,tung,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
278,Один рыба стоит {{сто}} рублей\ ну\/,сто рублей,сто,рублей,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
279,Ой {{сколько}} мяса\,сколько мяса,сколько,мяса,standard,gen_mass,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
280,Ой {{сколько}} я разок 10 вздохнула,разов десять,десять,разов,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
281,Ой сколько я разок {{10}} вздохнула,разов десять,десять,разов,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
282,"Ой-ой ... ну прям... на нем же поливаются\ они, у ней же витамин\ {{много}} там у нее.",витамин много,много,витамин,nonstandard,nom_sg,tung,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Lekarstva2 (vsg) [2012],online-corpus_202104
283,"Ой, на Бехале... {{столько}} собак нападали, гуси там ""о-хо-о"" кряхтят.",сколько собак,сколько,собак,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,JezdilaKOtzu (itg) [2013],online-corpus_202104
284,"Ой, там эта рыба поймали {{много.}}",рыба много,много,рыба,nonstandard,nom_mass,tung,gen_pl,basic,non_time&measure,noun_num,mass,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
285,Ой\ {{сколько}} лекарств у меня идет/ ой\ бог\ мой,сколько лекарств,сколько,лекарств,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
286,Ой\ {{триии\}} дня праздновают,три дня,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
287,Ой\ а летчики\ то {{сколько}} были молодежь\,летчики сколько,сколько,летчики,nonstandard,nom_pl,tung,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104
288,"Он был ... ну моя ровесник\ куда\ его брать, {{десять}} лет\",десять лет,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
289,Он вырастет/ большой - я уже {{сколько}} лет\ я буду,сколько лет,сколько,лет,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
290,Он младше на {{двадцать}} {{пять}} лет/,двадцать пять лет,двадцать пять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija2 (vsg) [2012],online-corpus_202104
291,Он/ {{два}} ведро,два ведро,два,ведро,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,PoJagody (vsg) [2015],online-corpus_202104
292,Он== Ему было уже восемьдесят лет,восемьдесят лет,восемьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_Kazama-rus_20210220_ek.eaf,elan_pract_202102
293,Она лелюкает/ там наверно месяцев {{восемь\}} пацанчик,месяцев восемь,восемь,месяцев,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,VydaliZaStarika (vsg) [2015],online-corpus_202104
294,Она уже после учебы уже {{десять}} лет\ работает самостоятельно\,десять лет,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
295,Она хоть {{десять}} лет ничего не == как свежий\,десять лет,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,PoJagody (vsg) [2015],online-corpus_202104
296,Она-то рассказывает: {{два}} кувшин золот\,два кувшин золот,два,кувшин золот,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
297,оой чтобы он рассказал о войне ... == это лет {{десять}} ...,лет десять,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
298,Опять {{много/}} несколько дней\ мочат,несколько дней,несколько,дней,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,EthnoVerevki (oab) [2017],online-corpus_202104
299,Отец тоже {{15}} рублей...,пятнадцать рублей,пятнадцать,рублей,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
300,Откуда\ мамка\ это {{столько\}} у тебя драгоценностей\?,сколько драгоценностей,сколько,драгоценностей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,SonZolotoSonDocheri (vsg) [2011],online-corpus_202104
301,Откуда\ у тебя {{столько}} драгоценностей\? говорит,столько драгоценностей,столько,драгоценностей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,SonZolotoSonDocheri (vsg) [2011],online-corpus_202104
302,Оттуда берите {{столько}} же материал\,столько материал,столько,материал,nonstandard,nom_mass,tung,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Shaman (vsg) [2015],online-corpus_202104
303,Очень {{много}} ... сена\ косить надо было,много сена,много,сена,standard,gen_mass,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
304,Первые три-четыре года у меня все в цветах было,три-четыре года,четыре,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
305,Перед смерти года {{два}} она ... встретила базарчике\ Кондоне\,года два,два,года,standard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
306,Перёд то\ рассказывает: это ... {{два}} кувшин забрали\ гврт,два кувшин,два,кувшин,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
307,"Пил он/ ну год\ живет вроде ничего, {{два\}} год живет ничего",два год,два,год,nonstandard,nom_sg,tung,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
308,По {{два\}} {{семья}},два семья,два,семья,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
309,По {{четыре\}} {{семья}},четыре семья,четыре,семья,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
310,По семь ведер в день собирала огурцов,семь ведер,семь,ведер,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102
311,Под черный камень {{два}} кувшина\ золото\ стоит,два кувшина,два,кувшина,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
312,Поехали {{два}} братья\,два братья,два,братья,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
313,полно их ... {{пять}} ... разных это а у вас всего раз {{два}} и обчёлся,пять разных,пять,разных,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,ssb_20170809_nst_NaniVRestorane (ssb) [2017],online-corpus_202104
